,JobID,Title,ExperienceLevel,Responsibilities,Keywords
17,NET-E-018,.NET Developer,Experienced,Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID
18,NET-E-019,.NET Developer,Experienced,Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure
19,NET-E-020,.NET Developer,Experienced,Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs
20,AI001,AI Engineer - Fresher,Entry-Level,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
21,AI002,AI Engineer - Fresher,Entry-Level,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
22,AI003,AI Engineer - Fresher,Entry-Level,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
23,AI004,AI Engineer - Fresher,Entry-Level,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
24,AI005,AI Engineer - Fresher,Entry-Level,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
25,AI006,AI Engineer - Fresher,Entry-Level,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
26,AI007,AI Engineer - Fresher,Entry-Level,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
27,AI008,AI Engineer - Fresher,Entry-Level,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
28,AI009,AI Engineer - Fresher,Entry-Level,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
29,AI010,AI Engineer - Experienced,Mid-Senior Level,Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch
30,AI011,AI Engineer - Experienced,Senior-Level,"Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines",AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
31,AI012,AI Engineer - Experienced,Senior-Level,Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
32,AI013,AI Engineer - Experienced,Senior-Level,Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
33,AI014,AI Engineer - Experienced,Senior-Level,Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
34,AI015,AI Engineer - Experienced,Senior-Level,Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
35,AI016,AI Engineer - Experienced,Senior-Level,Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
36,AI017,,Senior-Level,Lead complex AI and ML projects; Develop scalable deep learning and NLP pipelines; Manage cloud AI infrastructure; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
37,AI018,AI Engineer - Experienced,Senior-Level,Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
38,AI019,AI Engineer - Experienced,Senior-Level,Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
39,AI020,AI Engineer - Experienced,Senior-Level,Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
40,AI-F-001,AI Prompt Engineer,Fresher,Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis
41,AI-F-002,AI Prompt Engineer,Fresher,Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
42,AI-F-003,AI Prompt Engineer,Fresher,Assist in prompt design for AI models; Evaluate prompt outcomes; Support AI/data science team tasks; Document experiments; Learn NLP libraries; Assist in integration of prompts into AI applications,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
43,AI-F-004,AI Prompt Engineer,Fresher,Write and test AI prompts; Support NLP tasks; Collaborate with AI/data science teams; Document prompt testing results; Assist with AI model integration; Learn and apply AI frameworks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
44,AI-F-005,AI Prompt Engineer,Fresher,Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
45,AI-F-006,AI Prompt Engineer,Fresher,Write and refine prompts for AI models; Support NLP and data analysis tasks; Collaborate with AI/data teams; Document prompt results and learnings; Assist in AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
46,AI-F-007,AI Prompt Engineer,Fresher,Assist in prompt creation for AI models; Test prompt performance; Collaborate with AI/data teams; Document experiments; Support AI model integration and evaluation,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
47,AI-F-008,AI Prompt Engineer,Fresher,Write and test AI prompts; Assist NLP-related tasks; Collaborate with AI/data teams; Document prompt results; Support AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
48,AI-F-009,AI Prompt Engineer,Fresher,Assist in prompt design and testing; Collaborate with AI/data science teams; Document prompt experiments; Learn prompt optimization techniques; Support AI integration projects,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
49,AI-F-010,AI Prompt Engineer,Fresher,Assist in AI prompt creation and testing; Support NLP tasks; Collaborate with AI/data science teams; Document prompt outcomes; Help integrate prompts with AI models,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
50,AI-E-011,AI Prompt Engineer,Experienced,Design and optimize prompts for LLMs; Apply advanced NLP techniques for prompt tuning; Collaborate with AI and data science teams; Implement AI model evaluation metrics; Develop prompt optimization strategies; Lead prompt-related projects; Mentor junior prompt engineers,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration; AI Ethics; Model Fine-tuning
51,AI-E-012,AI Prompt Engineer,Experienced,Develop and fine-tune AI prompts; Lead prompt optimization initiatives; Collaborate with AI/data science teams for deployment; Design prompt evaluation metrics; Document prompt design patterns; Mentor junior engineers on prompt engineering best practices,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
52,AI-E-013,AI Prompt Engineer,Experienced,Lead prompt engineering efforts; Optimize prompt performance for LLMs; Collaborate with cross-functional AI teams; Implement prompt testing strategies; Provide mentorship on prompt engineering; Document prompt design improvements,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
53,AI-E-014,AI Prompt Engineer,Experienced,Design advanced prompts for AI models; Perform prompt evaluation and tuning; Collaborate with AI teams for integration; Implement metrics for prompt effectiveness; Lead knowledge sharing sessions on prompt engineering,Prompt Optimization; LLM; Python; AI Frameworks; API Integration; Model Fine-tuning
54,AI-E-015,AI Prompt Engineer,Experienced,Lead development of AI prompt strategies; Optimize prompts for large-scale AI models; Mentor junior prompt engineers; Collaborate with AI and data teams; Document best practices for prompt design; Perform metrics-driven analysis of prompt effectiveness,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
55,AI-E-016,AI Prompt Engineer,Experienced,Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
56,AI-E-017,AI Prompt Engineer,Experienced,Lead prompt optimization projects; Evaluate prompt performance; Collaborate with cross-functional teams; Mentor junior engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
57,AI-E-018,AI Prompt Engineer,Experienced,"Design, test, and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI teams; Document best practices; Mentor junior engineers; Analyze prompt performance metrics",Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
58,AI-E-019,AI Prompt Engineer,Experienced,Develop and refine prompts for LLMs; Collaborate with AI/data teams; Lead prompt engineering projects; Mentor junior prompt engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
59,AI-E-020,AI Prompt Engineer,Experienced,Lead prompt optimization projects; Design and refine prompts for AI models; Collaborate with cross-functional AI teams; Mentor junior engineers; Document prompt best practices; Implement evaluation metrics for prompt effectiveness,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
60,AND-F-01,Android Developer Intern,Fresher,Assist in building small Android app modules.; Write clean code in Java and Kotlin under supervision.; Follow Material Design guidelines for UI development.; Integrate simple REST APIs and store data locally.; Participate in basic unit testing and debugging.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite; Mobile Development
61,AND-F-02,Junior Android Developer,Fresher,Develop Android app screens with XML layouts.; Collaborate with designers to implement UI components.; Integrate basic REST APIs and handle JSON responses.; Participate in peer code reviews.; Document small modules and features for clarity.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
62,AND-F-03,Android App Developer Trainee,Fresher,Implement small app features using Kotlin and Java.; Assist in connecting apps to APIs for basic data exchange.; Follow app architecture patterns (MVC) under supervision.; Debug minor issues using Android Studio tools.; Learn and apply version control using Git.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite
63,AND-F-04,Entry-level Android Developer,Fresher,Build Android app screens and connect basic APIs.; Ensure responsive layouts and follow Material Design principles.; Write unit tests for small modules.; Document development workflows.; Collaborate with senior developers for guidance.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
64,AND-F-05,Android Developer Intern,Fresher,Support the development of simple Android modules.; Implement layouts following Material Design.; Assist in connecting REST APIs for data retrieval.; Debug basic issues and document code.; Participate in team discussions and code reviews.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite
65,AND-F-06,Associate Android Developer,Fresher,Develop academic or POC Android app features.; Ensure proper UI/UX implementation using Material Design.; Connect apps to REST APIs and handle JSON data.; Debug minor issues and maintain local storage.; Follow version control practices using Git.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
66,AND-F-07,Trainee Android App Developer,Fresher,Assist in coding Android app modules in Java/Kotlin.; Apply Material Design and UI/UX best practices.; Perform unit testing for small features.; Connect apps to REST APIs for demonstration projects.; Document code and workflows under supervision.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; REST API; SQLite
67,AND-F-08,Junior Android Engineer,Fresher,Build simple Android app screens with proper layout.; Implement basic app features using Java/Kotlin.; Follow MVC pattern under guidance.; Test functionality using unit tests.; Document code and participate in team reviews.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
68,AND-F-09,Android Development Intern,Fresher,Assist in small-scale Android app development projects.; Follow Material Design and UI/UX principles.; Integrate basic REST APIs and handle data locally.; Debug minor issues using Android Studio tools.; Learn and apply Git version control.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; REST API; SQLite
69,AND-F-10,Android Developer Trainee,Fresher,Develop and test small Android app features.; Follow Material Design for responsive UI layouts.; Integrate basic REST APIs for data functionality.; Debug and document code with guidance.; Participate in learning sessions and code reviews.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
70,AND-E-01,Android Developer,Experienced,Develop and maintain production Android apps.; Implement MVVM architecture and Jetpack components.; Integrate REST APIs and Firebase services.; Optimize performance with multi-threading and memory management.; Mentor junior developers and participate in agile sprints.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
71,AND-E-02,Senior Android Developer,Experienced,Lead development of scalable Android apps with clean architecture.; Implement dependency injection using Dagger/Koin.; Integrate APIs and optimize app performance.; Automate CI/CD pipelines and testing.; Guide junior developers and review code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
72,AND-E-03,Lead Android Engineer,Experienced,Architect and lead Android app development projects.; Implement MVVM and modular design patterns.; Optimize app memory and multi-threading performance.; Integrate cloud services like Firebase for analytics and messaging.; Mentor team members and ensure high code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
73,AND-E-04,Android Solutions Engineer,Experienced,"Design and implement efficient Android apps.; Integrate REST APIs, Jetpack components, and Room database.; Ensure smooth app performance and memory optimization.; Lead CI/CD pipeline implementation and automated testing.; Collaborate with cross-functional teams for product delivery.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
74,AND-E-05,Principal Android Developer,Experienced,Define technical direction for Android apps across teams.; Implement advanced MVVM architecture with modularization.; Optimize performance and reduce crash rates.; Mentor senior and junior engineers.; Oversee Play Store releases and CI/CD processes.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
75,AND-E-06,Android Tech Lead,Experienced,"Lead Android development teams for enterprise apps.; Oversee architecture, modularization, and app performance.; Integrate Firebase services for analytics and messaging.; Ensure CI/CD pipelines and automated tests run smoothly.; Guide and mentor engineers on best coding practices.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
76,AND-E-07,Senior Android Engineer,Experienced,Develop and maintain large-scale Android apps.; Implement modular MVVM architecture with Jetpack libraries.; Optimize app performance and reduce crash rates.; Integrate REST APIs and cloud services.; Mentor team members and review code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
77,AND-E-08,Android Architect,Experienced,"Design Android app architecture for scalability and performance.; Guide development teams on MVVM, modularization, and clean architecture.; Monitor performance metrics and optimize memory usage.; Oversee Play Store releases and continuous integration pipelines.; Mentor senior engineers and ensure best practices are followed.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
78,AND-E-09,Android Solutions Architect,Experienced,"Define architecture strategies for multiple Android projects.; Lead app performance optimization, debugging, and CI/CD integration.; Mentor teams on advanced Android development patterns.; Ensure Play Store compliance and smooth deployment.; Collaborate with stakeholders for technical solutions and metrics.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
79,AND-E-10,Principal Android Engineer,Experienced,"Set technical standards for Android apps across teams.; Oversee advanced app development, CI/CD, and testing processes.; Optimize app performance and maintain crash-free releases.; Mentor senior and junior engineers on architecture and coding standards.; Drive Android project delivery with measurable KPIs.",Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
80,AR-F-001,AR/VR Developer,Fresher,Assist in developing AR/VR applications; Create basic 3D models and animations; Support Unity and Unreal Engine projects; Collaborate with design teams on UI/UX; Test and debug AR/VR interactions; Document development processes,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript
81,AR-F-002,AR/VR Developer,Fresher,Support AR/VR project development; Develop basic interactive 3D content; Assist in Unity and Unreal Engine workflows; Integrate basic gestures and motion tracking; Collaborate with UI/UX designers; Test and debug AR/VR applications,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript
82,AR-F-003,AR/VR Developer,Fresher,Assist in AR/VR application development; Support 3D modeling and animation tasks; Help implement basic AR/VR interactions; Test AR/VR applications for functionality; Document development work; Collaborate with cross-functional teams,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript
83,AR-F-004,AR/VR Developer,Fresher,Develop basic AR/VR interactions; Assist with 3D modeling and animation; Support Unity and Unreal Engine projects; Integrate basic gestures and motion tracking; Collaborate with designers and developers; Test and debug AR/VR content,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript
84,AR-F-005,AR/VR Developer,Fresher,Assist in AR/VR project tasks; Create basic interactive 3D models; Support development in Unity and Unreal Engine; Help integrate ARKit/ARCore features; Collaborate with design teams; Perform testing and debugging of AR/VR interactions,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript
85,AR-E-006,AR/VR Developer,Experienced,"Design and develop immersive AR/VR applications; Lead AR/VR projects using Unity and Unreal Engine; Integrate ARKit, ARCore, and Vuforia features; Optimize 3D models and graphics performance; Manage cross-platform deployment; Mentor junior developers and designers; Collaborate with multidisciplinary teams",Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
86,AR-E-007,AR/VR Developer,Experienced,"Lead development of AR/VR applications; Implement advanced 3D graphics and animations; Integrate ARKit, ARCore, Vuforia, and WebVR; Optimize performance and hardware integration; Guide cross-platform development; Mentor team members; Coordinate with project stakeholders",Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
87,AR-E-008,AR/VR Developer,Experienced,Architect AR/VR experiences; Implement advanced 3D modeling and interactive animations; Integrate hardware and optimize performance; Lead cross-platform deployments; Mentor and guide development teams; Collaborate with design and product teams; Manage AR/VR project timelines,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
88,AR-E-009,AR/VR Developer,Experienced,Lead AR/VR application architecture and development; Design and implement advanced interactive experiences; Optimize 3D assets and performance; Integrate cross-platform AR/VR features; Mentor and train junior developers; Collaborate with multidisciplinary teams; Ensure project delivery on time and quality standards,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
89,AR-E-010,AR/VR Developer,Experienced,Lead AR/VR development projects; Architect immersive and interactive applications; Optimize graphics performance and hardware integration; Oversee cross-platform deployment; Mentor teams and review code/designs; Collaborate with design and engineering teams; Manage timelines and deliverables,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
90,AR-E-011,AR/VR Developer,Experienced,Architect and lead AR/VR applications; Develop interactive and immersive experiences; Optimize 3D modeling and rendering; Integrate cross-platform AR/VR features; Mentor junior developers; Collaborate across teams; Ensure high-quality deliverables and timelines,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
91,AR-E-012,AR/VR Developer,Experienced,Lead AR/VR projects from concept to deployment; Develop advanced 3D modeling and animations; Optimize performance across platforms; Integrate AR/VR frameworks and hardware; Mentor and manage development teams; Collaborate with design and product teams; Ensure project success and quality,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
92,AR-E-013,AR/VR Developer,Experienced,"Architect and lead development of AR/VR applications; Create interactive and immersive experiences; Optimize graphics performance and cross-platform deployment; Integrate AR/VR frameworks and hardware; Mentor development teams; Collaborate across design, product, and engineering teams; Manage project timelines and quality",Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
93,AR-E-014,AR/VR Developer,Experienced,Lead AR/VR application architecture and development; Develop immersive interactive experiences; Optimize 3D graphics and cross-platform performance; Integrate AR/VR frameworks and hardware; Mentor and guide development teams; Collaborate with multidisciplinary teams; Ensure timely delivery and quality standards,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
94,AR-E-015,AR/VR Developer,Experienced,Oversee AR/VR development projects; Design and implement immersive experiences; Optimize 3D assets and performance; Integrate AR/VR frameworks across platforms; Mentor and manage development teams; Collaborate with cross-functional teams; Ensure high-quality project delivery,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
95,AR-E-016,AR/VR Developer,Experienced,Lead architecture and development of AR/VR applications; Develop immersive interactive experiences; Optimize 3D graphics and cross-platform performance; Integrate AR/VR frameworks and hardware; Mentor and guide teams; Collaborate across multidisciplinary teams; Manage project timelines and quality,Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
96,AR-E-017,AR/VR Developer,Experienced,"Architect and lead AR/VR development projects; Develop advanced immersive experiences; Optimize 3D modeling, animation, and performance; Integrate AR/VR frameworks and hardware; Mentor teams; Collaborate with cross-functional departments; Ensure project quality and deadlines",Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning
